




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5228828 Released 2021-08-18
Analyzed List:	genelist_intersec (Arabidopsis thaliana)	There are duplicate IDs in the file. The unique set of IDs will be used.
Reference List:	Arabidopsis thaliana (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Arabidopsis thaliana - REFLIST (27462)	genelist_intersec (702)	genelist_intersec (expected)	genelist_intersec (over/under)	genelist_intersec (fold Enrichment)	genelist_intersec (raw P-value)	genelist_intersec (FDR)
RISC complex (GO:0016442)	2	2	.05	+	39.12	3.60E-03	4.01E-02
clathrin complex (GO:0071439)	2	2	.05	+	39.12	3.60E-03	3.97E-02
RNAi effector complex (GO:0031332)	2	2	.05	+	39.12	3.60E-03	3.93E-02
photosystem II reaction center (GO:0009539)	10	7	.26	+	27.38	9.08E-08	3.80E-06
1,3-beta-D-glucan synthase complex (GO:0000148)	12	6	.31	+	19.56	3.37E-06	9.30E-05
plastid large ribosomal subunit (GO:0000311)	15	7	.38	+	18.26	7.14E-07	2.34E-05
plastid ribosome (GO:0009547)	30	12	.77	+	15.65	2.92E-10	1.53E-08
plastid small ribosomal subunit (GO:0000312)	13	5	.33	+	15.05	6.21E-05	1.18E-03
U2AF complex (GO:0089701)	8	3	.20	+	14.67	2.19E-03	2.49E-02
plasma membrane protein complex (GO:0098797)	38	10	.97	+	10.29	2.42E-07	9.37E-06
organellar small ribosomal subunit (GO:0000314)	29	6	.74	+	8.09	2.06E-04	3.12E-03
photosystem II (GO:0009523)	44	9	1.12	+	8.00	5.87E-06	1.54E-04
Golgi-associated vesicle membrane (GO:0030660)	32	6	.82	+	7.33	3.28E-04	4.84E-03
organellar ribosome (GO:0000313)	77	13	1.97	+	6.60	3.62E-07	1.26E-05
photosystem (GO:0009521)	63	10	1.61	+	6.21	1.31E-05	3.12E-04
stromule (GO:0010319)	38	6	.97	+	6.18	7.40E-04	9.56E-03
organellar large ribosomal subunit (GO:0000315)	46	7	1.18	+	5.95	3.30E-04	4.80E-03
transport vesicle membrane (GO:0030658)	44	6	1.12	+	5.33	1.47E-03	1.73E-02
vesicle coat (GO:0030120)	54	7	1.38	+	5.07	7.87E-04	9.93E-03
coated vesicle membrane (GO:0030662)	70	9	1.79	+	5.03	1.53E-04	2.63E-03
membrane coat (GO:0030117)	70	9	1.79	+	5.03	1.53E-04	2.59E-03
coated membrane (GO:0048475)	70	9	1.79	+	5.03	1.53E-04	2.55E-03
Golgi-associated vesicle (GO:0005798)	47	6	1.20	+	4.99	1.99E-03	2.29E-02
plastid nucleoid (GO:0042646)	55	6	1.41	+	4.27	4.07E-03	4.35E-02
nuclear body (GO:0016604)	101	10	2.58	+	3.87	4.67E-04	6.43E-03
cytoplasmic vesicle membrane (GO:0030659)	142	13	3.63	+	3.58	1.44E-04	2.55E-03
vesicle membrane (GO:0012506)	146	13	3.73	+	3.48	1.85E-04	2.85E-03
nuclear envelope (GO:0005635)	115	10	2.94	+	3.40	1.18E-03	1.42E-02
plasmodesma (GO:0009506)	939	76	24.00	+	3.17	1.32E-17	3.45E-15
